Title,URL,LastUpdated
"Welcome to Dynamics 365 Finance","https://learn.microsoft.com/en-us/dynamics365/finance/finance-welcome","8/27/2025"
"What's new or changed in Dynamics 365 Finance","https://learn.microsoft.com/en-us/dynamics365/finance/get-started/whats-new-home-page","8/25/2025"
"Microsoft Dynamics 365 Finance","https://learn.microsoft.com/en-us/training/dynamics365/finance","UNKNOWN"
"Development and administration for finance and operations apps","https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro","5/7/2025"
"Microsoft Dynamics 365 Commerce documentation","https://learn.microsoft.com/en-us/dynamics365/commerce","UNKNOWN"
"Microsoft Dynamics 365 Human Resources documentation","https://learn.microsoft.com/en-us/dynamics365/human-resources","UNKNOWN"
"Dynamics 365 Project Operations documentation","https://learn.microsoft.com/en-us/dynamics365/project-operations","UNKNOWN"
"Microsoft Dynamics 365 Supply Chain Management documentation","https://learn.microsoft.com/en-us/dynamics365/supply-chain","UNKNOWN"
"Dynamics 365 guidance documentation and other resources","https://learn.microsoft.com/en-us/dynamics365/guidance","UNKNOWN"
"Finance Troubleshooting and FAQs","https://learn.microsoft.com/en-us/dynamics365/finance/finance-troubleshooting","9/7/2024"
"Release plans for Dynamics 365, Power Platform, Cloud for Industry, and Copilot","https://learn.microsoft.com/en-us/dynamics365/release-plans","UNKNOWN"
"Get support for your Dynamics 365 product","https://learn.microsoft.com/en-us/dynamics365/get-started/support","8/27/2024"
"Microsoft Dynamics 365 and Power Platform data residency documentation","https://learn.microsoft.com/en-us/dynamics365/get-started/availability","10/13/2025"
"Microsoft Dynamics 365 Finance documentation","https://learn.microsoft.com/en-us/dynamics365/finance","UNKNOWN"
"Accounts payable home page","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/accounts-payable","8/27/2025"
"Vendor invoices overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-invoices-overview","3/3/2025"
"Configure Accounts payable overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/accounts-payable-overview","4/12/2024"
